strain,tempreture,strain_rate,flow_stress
0.368708397,0,0.3,217.2054063
0.377295687,0,0.3,215.2993934
0.381377274,0,0.3,214.4224211
0.390061791,0,0.3,212.5201546
0.39882239,0,0.3,210.6664822
0.403457452,0,0.3,209.6922894
0.412336721,0,0.3,207.8386171
0.421295538,0,0.3,206.0316373
0.425561115,0,0.3,205.154665
0.434639737,0,0.3,203.3914745
0.439457609,0,0.3,202.4597695
0.449150043,0,0.3,200.5977406
0.458446376,0,0.3,198.8753117
0.462887457,0,0.3,198.0836294
0.472299161,0,0.3,196.4043545
0.481814245,0,0.3,194.7629785
0.486851405,0,0.3,193.9144005
0.493960456,0,0.3,192.6710016
0.503684914,0,0.3,191.1051354
0.513504867,0,0.3,189.5760117
0.518719117,0,0.3,188.8007337
0.528688564,0,0.3,187.3449592
0.538743628,0,0.3,185.9250911
0.543556919,0,0.3,185.3193298
0.553778371,0,0.3,184.0040131
0.564105381,0,0.3,182.6769993
0.569591009,0,0.3,181.9986147
0.580068083,0,0.3,180.7348517
0.585084958,0,0.3,180.1464333
0.596305381,0,0.3,178.8768989
0.607083467,0,0.3,177.7683536
0.612222175,0,0.3,177.2794597
0.623174136,0,0.3,176.2591044
0.634247373,0,0.3,175.2554104
0.640116412,0,0.3,174.7520225
0.651396458,0,0.3,173.8987246
0.662788471,0,0.3,173.0588926
0.668222355,0,0.3,172.7017217
0.679808795,0,0.3,172.0385457
0.691531054,0,0.3,171.4513646
0.697764509,0,0.3,171.1602837
0.709700424,0,0.3,170.6257085
0.715396041,0,0.3,170.4522439
0.728188182,0,0.3,169.9253466
0.74049509,0,0.3,169.5334647
0.746369354,0,0.3,169.445852
0.758903484,0,0.3,169.1243018
0.771596714,0,0.3,168.8554132
0.778351537,0,0.3,168.6926578
0.791295661,0,0.3,168.4800722
0.804409536,0,0.3,168.3102714
0.810672726,0,0.3,168.1716404
0.82404491,0,0.3,167.7996028
0.831144972,0,0.3,167.5673298
0.84551822,0,0.3,167.0899815
0.859367876,0,0.3,166.7388269
0.866006583,0,0.3,166.6475336
0.880144959,0,0.3,166.303513
0.8944861,0,0.3,165.9883622
0.902106313,0,0.3,165.7621311
0.916768234,0,0.3,165.413944
0.931648329,0,0.3,165.088859
0.93876439,0,0.3,164.9697713
0.954000327,0,0.3,164.7103178
0.962089713,0,0.3,164.5722293
0.978490422,0,0.3,164.2618136
0.994325425,0,0.3,164.0633563
1.001903522,0,0.3,164.0195575
1.018116703,0,0.3,163.8099915
1.034621348,0,0.3,163.5423632
1.043392907,0,0.3,163.334867
1.06029875,0,0.3,163.0226503
1.077470002,0,0.3,162.6802822
1.085733356,0,0.3,162.5837589
1.103376857,0,0.3,162.1813649
1.112775668,0,0.3,161.8960273
1.130907211,0,0.3,161.4306599
1.149373588,0,0.3,160.9422876
1.159216994,0,0.3,160.5870237
1.178246695,0,0.3,159.8681206
1.191468397,0,0.3,158.8426547
1.211070125,0,0.3,158.1831685
1.231093301,0,0.3,157.4432903
1.241809226,0,0.3,156.9506321
1.262433488,0,0.3,155.9888251
1.272384123,0,0.3,155.4949833
1.293686998,0,0.3,154.3130375
1.315453582,0,0.3,153.0408531
1.327085753,0,0.3,152.3029282
1.349599974,0,0.3,150.9122728
1.372632783,0,0.3,149.4305384
1.383749139,0,0.3,148.7537243
1.407591697,0,0.3,147.3613038
1.43198054,0,0.3,145.6866493
1.445096316,0,0.3,144.7054199
1.470466638,0,0.3,142.8853982
1.496497405,0,0.3,141.082855
1.510493408,0,0.3,140.0906003
1.537561658,0,0.3,138.2654802
1.550643768,0,0.3,137.4287029
1.578878514,0,0.3,135.4990789
1.607890643,0,0.3,133.5093455
1.623592548,0,0.3,132.3781839
1.653951706,0,0.3,130.3142864
1.685354478,0,0.3,128.1872699
1.700536103,0,0.3,127.2246693
1.733314909,0,0.3,125.0596328
1.765691748,0,0.3,123.0240489
1.782256326,0,0.3,121.9908976
1.812264558,0,0.3,120.1289229
1.825711836,0,0.3,119.4361426
1.8534914,0,0.3,117.971033
1.877320609,0,0.3,117.0438788
1.888995437,0,0.3,116.6270497
1.909323798,0,0.3,116.2088451
1.927286244,0,0.3,116.1273747
1.935075789,0,0.3,116.2583468
1.949990667,0,0.3,116.6309481
1.962919253,0,0.3,117.289003
0.0033937,25,0.3,3.92157
0.0067873,25,0.3,7.84314
0.0091519,25,0.3,12.4088
0.011808,25,0.3,15.3285
0.014464,25,0.3,18.6131
0.0171201,25,0.3,21.8978
0.0197761,25,0.3,24.8175
0.0224321,25,0.3,28.1022
0.0250882,25,0.3,31.0219
0.0277442,25,0.3,34.3066
0.0304003,25,0.3,37.5912
0.0330567,25,0.3,40.5109
0.0357127,25,0.3,43.7956
0.0383687,25,0.3,46.7153
0.0410247,25,0.3,50
0.0436807,25,0.3,53.2847
0.0463367,25,0.3,56.2044
0.0489927,25,0.3,59.4891
0.0516487,25,0.3,62.4088
0.0543047,25,0.3,65.6934
0.0569607,25,0.3,68.6131
0.0596167,25,0.3,71.8978
0.0622727,25,0.3,75.1825
0.0649287,25,0.3,78.1022
0.0702407,25,0.3,84.3066
0.072857403,25,0.3,86.46732856
0.080008755,25,0.3,88.10293955
0.08722217,25,0.3,91.1678014
0.091028556,25,0.3,98.3760888
0.098311522,25,0.3,106.7429594
